city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Samandıra,40.9990,29.2257,Turkey,TR,İstanbul,minor,,
Keçiören,40.0000,32.8667,Turkey,TR,Ankara,minor,,
Pursaklar,40.0320,32.8953,Turkey,TR,Ankara,minor,,
Melikgazi,38.7500,35.4500,Turkey,TR,Kayseri,minor,,
Altındağ,39.9636,32.9033,Turkey,TR,Ankara,minor,,
Buca,38.3500,27.1667,Turkey,TR,İzmir,minor,,
Gaziemir,38.3214,27.1275,Turkey,TR,İzmir,minor,,
Karşıyaka,38.4596,27.1152,Turkey,TR,İzmir,minor,,
Kemerburgaz,41.1617,28.9206,Turkey,TR,İstanbul,minor,,
Mamak,39.9422,32.9231,Turkey,TR,Ankara,minor,,
Bornova,38.4697,27.2211,Turkey,TR,İzmir,minor,,
Burç,37.0136,37.1791,Turkey,TR,Gaziantep,minor,,
Sincan,39.9594,32.5767,Turkey,TR,Ankara,minor,,
Kazanlı,36.8156,34.7576,Turkey,TR,Mersin,minor,,
Yenimahalle,39.9719,32.8119,Turkey,TR,Ankara,minor,,
Hadımköy,41.1559,28.6177,Turkey,TR,İstanbul,minor,,
Mahmut Şevket Paşa,41.1528,29.1897,Turkey,TR,İstanbul,minor,,
Değirmendere,40.7200,29.7808,Turkey,TR,Kocaeli,minor,,
Yolboyu,37.8976,40.0009,Turkey,TR,Diyarbakır,minor,,
Bağlar,37.8333,40.0000,Turkey,TR,Diyarbakır,minor,,
Yenişehir,37.9415,40.1380,Turkey,TR,Diyarbakır,minor,,
Erenler,40.7550,30.3934,Turkey,TR,Sakarya,minor,,
Kazımpaşa,40.7916,30.2950,Turkey,TR,Sakarya,minor,,
Serdivan,40.7738,30.3801,Turkey,TR,Sakarya,minor,,
Darıca,40.7797,29.3945,Turkey,TR,Kocaeli,minor,,
